iter	Logloss
0	0.6800297039
1	0.6714494436
2	0.6641980689
3	0.657769935
4	0.6511916604
5	0.6465939603
6	0.6412020361
7	0.6369580578
8	0.6315979277
9	0.6278873316
10	0.6237440703
11	0.6205265285
12	0.6163152903
13	0.6119798883
14	0.6081559224
15	0.6035231742
16	0.6011812053
17	0.5998070451
18	0.5967130815
19	0.5950257694
20	0.5933110589
21	0.5908528007
22	0.5884739694
23	0.5868815326
24	0.5850202554
25	0.5833447488
26	0.5818983517
27	0.5794729136
28	0.5759123896
29	0.5723065809
30	0.5705416549
31	0.5687966711
32	0.5657798506
33	0.5641542357
34	0.5620747572
35	0.5590480241
36	0.5580434793
37	0.5570870563
38	0.5548745696
39	0.5533951234
40	0.5518970097
41	0.5503837237
42	0.5482288824
43	0.5465821507
44	0.5444550551
45	0.5432260269
46	0.541572741
47	0.5392972754
48	0.5381058457
49	0.5370853549
50	0.5362160107
51	0.5345358602
52	0.533065311
53	0.530494112
54	0.5291723647
55	0.5270639551
56	0.526003583
57	0.5241143626
58	0.5218863776
59	0.5206619073
60	0.5192769011
61	0.5180634573
62	0.5167917555
63	0.5157407343
64	0.514446004
65	0.5128012484
66	0.5115315265
67	0.5103773716
68	0.5088388417
69	0.5079491995
70	0.5072435051
71	0.5062446329
72	0.505519617
73	0.5043128626
74	0.5028320656
75	0.5017729604
76	0.5010957763
77	0.4995075262
78	0.4980993793
79	0.4970323376
80	0.4956699728
81	0.494544828
82	0.4928335979
83	0.4922104265
84	0.491619583
85	0.4909202413
86	0.4901070767
87	0.4895404992
88	0.4885228828
89	0.4878557214
90	0.4870251257
91	0.4859191092
92	0.4846277184
93	0.4834357597
94	0.4819639487
95	0.4813354793
96	0.48006374
97	0.4787974019
98	0.4774486081
99	0.4766958548
100	0.475587263
101	0.4744426998
102	0.4737222835
103	0.4727682814
104	0.4717639215
105	0.4708217448
106	0.4700918244
107	0.4689729939
108	0.4681960421
109	0.4667881509
110	0.4648831876
111	0.4632851002
112	0.4623808507
113	0.4611732906
114	0.459938023
115	0.4588734534
116	0.4578375172
117	0.4564423729
118	0.4549346846
