iter	Passed	Remaining
423	3001	537
424	3007	530
425	3014	523
426	3020	516
427	3028	509
428	3035	502
429	3042	495
430	3049	488
431	3056	481
432	3063	473
433	3069	466
434	3077	459
435	3084	452
436	3090	445
437	3097	438
438	3103	431
439	3109	424
440	3117	417
441	3123	409
442	3130	402
443	3137	395
444	3144	388
445	3150	381
446	3157	374
447	3165	367
448	3172	360
449	3179	353
450	3186	346
451	3193	339
452	3200	332
453	3207	325
454	3214	317
455	3221	310
456	3227	303
457	3234	296
458	3240	289
459	3248	282
460	3254	275
461	3261	268
462	3268	261
463	3275	254
464	3281	247
465	3288	239
466	3296	232
467	3303	225
468	3310	218
469	3318	211
470	3325	204
471	3332	197
472	3340	190
473	3347	183
474	3353	176
475	3360	169
476	3367	162
477	3373	155
478	3380	148
479	3387	141
480	3393	134
481	3400	126
482	3407	119
483	3414	112
484	3420	105
485	3428	98
486	3436	91
487	3443	84
488	3450	77
489	3457	70
490	3464	63
491	3472	56
492	3478	49
493	3486	42
494	3492	35
495	3499	28
496	3506	21
497	3513	14
498	3519	7
499	3527	0
