Date,Volume,SMA_5,EMA_12,EMA_26,RSI_14,MACD,BB_upper,BB_lower,Momentum_10,Volatility_10d,SMA_5_XLK,EMA_12_XLK,EMA_26_XLK,RSI_14_XLK,MACD_XLK,BB_upper_XLK,BB_lower_XLK,Momentum_10_XLK,Volatility_10d_XLK,DailySent,HasSent,Return_5d,y_5d,Sent_5d_Avg,SentimentSignal,bullish_sentiment_rsi,bearish_sentiment_rsi
2019-01-04,27706000,59.15990067,59.45427193,58.83846238,50.57487932,0.615809544,61.60718021,57.23252011,0.521499634,0.013826482,73.73400116,73.39589256,72.28102029,68.85060736,1.114872273,75.60157565,69.56242353,1.709999084,0.013000247,0.0,0,0.0611101502252771,1,,0,0,0
2019-01-05,74340000,62.13239975,61.74741208,61.17970581,42.91216319,0.567706271,64.70077534,58.44492435,-2.92950058,0.02790829,78.64400024,78.0581003,76.6834717,81.04970013,1.374628597,79.76405432,74.9569433,1.340003967,0.004164283,0.0,0,0.0274605044293387,1,,0,0,0
2019-01-07,29196000,54.27330017,54.68470349,55.18991993,57.22562242,-0.505216442,56.47107856,52.13747094,0.305500031,0.012378772,78.04799957,77.7298991,76.81935134,63.26059573,0.910547756,80.16301712,73.71298309,3.119995117,0.011406108,0.0,0,0.06046364448022,1,,0,0,0
2019-01-08,35426000,61.45040054,59.38521346,58.04818369,66.41629966,1.33702977,62.21637338,53.99137694,3.22700119,0.031129118,81.65399933,81.35957863,80.46975444,44.42856799,0.88982419,83.16037734,79.05962388,-0.680000305,0.007908308,0.0,0,-0.0818465625142933,0,,0,0,0
2019-01-10,24504000,61.41319962,61.21066154,60.75157161,44.88004298,0.459089928,62.77807506,59.54112508,-1.194000244,0.011023697,80.28999939,80.38419971,80.25167476,39.99998018,0.132524947,82.08398956,79.46801163,-1.510002136,0.009514325,0.0,0,-0.0080264081737686,0,,0,0,0
2019-01-11,28812000,63.41389923,62.8452627,62.11766815,69.72200064,0.727594545,64.70080799,59.46964184,1.391998291,0.011209892,83.84799957,82.83394688,81.88729839,65.76577676,0.946648483,84.8832724,78.77472702,3.759994507,0.009813673,0.0,0,-0.0741441700750396,0,,0,0,0
2019-02-04,18288000,59.31690063,59.58084554,58.94502076,52.08736892,0.635824785,61.68101396,57.34043646,0.153999329,0.013424332,74.10800018,73.68421627,72.50242595,68.08012946,1.181790322,75.93458739,69.67041139,1.819999695,0.013004788,0.0,0,0.0691142884654973,1,,0,0,0
2019-02-05,45098000,61.12409973,61.22096415,60.9682832,40.92594104,0.252680949,64.88671143,58.03748825,-3.681499481,0.027612816,78.49199982,78.06454617,76.78839961,74.33156059,1.276146561,79.79074014,75.1522576,0.5,0.004448746,0.0,0,0.0379764537343065,1,,0,0,0
2019-02-07,20630000,54.52350006,54.83013389,55.22251854,61.80740016,-0.392384648,56.55923655,52.33986318,0.368000031,0.012476519,78.54199982,78.00068352,77.01717701,67.37335122,0.983506513,80.09949019,74.42651003,1.949996948,0.010300638,0.0,0,0.0691623254953288,1,,0,0,0
2019-02-08,34910000,60.9614006,59.45148861,58.17913319,60.77122749,1.272355417,62.38222363,54.14377697,3.238502502,0.031066529,80.94600067,81.00425931,80.36458767,35.32333917,0.63967164,83.25717333,78.8728285,-1.63999939,0.009304805,0.0,0,-0.1317206761289163,0,,0,0,0
