Date,Volume,SMA_5,EMA_12,EMA_26,RSI_14,MACD,BB_upper,BB_lower,Momentum_10,Volatility_10d,SMA_5_XLK,EMA_12_XLK,EMA_26_XLK,RSI_14_XLK,MACD_XLK,BB_upper_XLK,BB_lower_XLK,Momentum_10_XLK,Volatility_10d_XLK,DailySent,HasSent,Return_5d,y_5d,Sent_5d_Avg,SentimentSignal,bullish_sentiment_rsi,bearish_sentiment_rsi
2019-01-04,483824000,4.462300014,4.382317658,4.215811988,69.26678232,0.16650567,4.760752134,3.696397896,0.333250046,0.026458159,73.73400116,73.39589256,72.28102029,68.85060736,1.114872273,75.60157565,69.56242353,1.709999084,0.013000247,0.0,0,0.1137921016768248,1,,0,0,0
2019-01-05,354280000,4.529000092,4.600699229,4.560002868,33.00207957,0.04069636,4.898898346,4.463951604,-0.193499565,0.018674157,78.64400024,78.0581003,76.6834717,81.04970013,1.374628597,79.76405432,74.9569433,1.340003967,0.004164283,0.0,0,0.0140190881570378,1,,0,0,0
2019-01-07,709756000,4.021850014,3.918361329,3.867709526,69.8711335,0.050651802,4.144333339,3.42006669,0.52850008,0.022581927,78.04799957,77.7298991,76.81935134,63.26059573,0.910547756,80.16301712,73.71298309,3.119995117,0.011406108,0.0,0,0.101168308817704,1,,0,0,0
2019-01-08,421212000,4.294900036,4.262560637,4.175732606,46.04063429,0.086828031,4.522995661,3.900454332,-0.131499767,0.021768738,81.65399933,81.35957863,80.46975444,44.42856799,0.88982419,83.16037734,79.05962388,-0.680000305,0.007908308,0.0,0,-0.0163107718088181,0,,0,0,0
2019-01-10,366008000,4.37699995,4.38402745,4.347872664,34.0438507,0.036154786,4.665594476,4.221980483,-0.176750183,0.019354625,80.28999939,80.38419971,80.25167476,39.99998018,0.132524947,82.08398956,79.46801163,-1.510002136,0.009514325,0.0,0,-0.0745371046443531,0,,0,0,0
2019-01-11,283640000,5.081599998,4.970658431,4.807019914,69.34007694,0.163638517,5.273713201,4.420311839,0.302500248,0.017086643,83.84799957,82.83394688,81.88729839,65.76577676,0.946648483,84.8832724,78.77472702,3.759994507,0.009813673,0.0,0,-0.1458611008547966,0,,0,0,0
2019-02-04,440920000,4.492949963,4.411961066,4.242418493,65.66449744,0.169542573,4.793557406,3.729792594,0.182250023,0.024009605,74.10800018,73.68421627,72.50242595,68.08012946,1.181790322,75.93458739,69.67041139,1.819999695,0.013004788,0.0,0,0.1467264051607226,1,,0,0,0
2019-02-05,394684000,4.510400105,4.59747628,4.561465623,38.52077467,0.036010657,4.896070595,4.453204374,-0.102499962,0.01962323,78.49199982,78.06454617,76.78839961,74.33156059,1.276146561,79.79074014,75.1522576,0.5,0.004448746,0.0,0,0.0296414621425442,1,,0,0,0
2019-02-07,400228000,4.075600004,3.939498031,3.881638442,70.98714815,0.057859589,4.174236156,3.438238858,0.233749866,0.020778816,78.54199982,78.00068352,77.01717701,67.37335122,0.983506513,80.09949019,74.42651003,1.949996948,0.010300638,0.0,0,0.1268036433894777,1,,0,0,0
2019-02-08,428348000,4.225500011,4.226743596,4.16491907,41.8629536,0.061824526,4.521021104,3.904828858,-0.181250095,0.02257737,80.94600067,81.00425931,80.36458767,35.32333917,0.63967164,83.25717333,78.8728285,-1.63999939,0.009304805,0.0,0,-0.1700476867677024,0,,0,0,0
2019-02-10,293372000,4.351049995,4.375100183,4.346252483,33.12293429,0.0288477,4.652511172,4.245763822,-0.173499584,0.01934932,79.80999908,80.06047649,80.10562469,30.13693738,-0.0451482,82.378224,79.01177691,-3.0,0.010896867,0.0,0,-0.0603961663715725,0,,0,0,0
2019-02-12,372036000,5.412199974,5.315748295,5.195506154,51.04226037,0.120242141,5.483794724,5.064105333,0.126499653,0.026035937,87.85200043,87.19992192,85.97003998,56.02604931,1.229881941,88.80105818,84.67294161,-0.339996338,0.007684136,0.0,0,-0.216014652652812,0,,0,0,0
