Date,Volume,SMA_5,EMA_12,EMA_26,RSI_14,MACD,BB_upper,BB_lower,Momentum_10,Volatility_10d,SMA_5_XLK,EMA_12_XLK,EMA_26_XLK,RSI_14_XLK,MACD_XLK,BB_upper_XLK,BB_lower_XLK,Momentum_10_XLK,Volatility_10d_XLK,DailySent,HasSent,Return_5d,y_5d,Sent_5d_Avg,SentimentSignal,bullish_sentiment_rsi,bearish_sentiment_rsi
2019-01-04,121656000,18.53680038,18.50081059,18.84177156,53.73077336,-0.340960973,19.6365001,17.30970008,1.312667847,0.021845664,73.73400116,73.39589256,72.28102029,68.85060736,1.114872273,75.60157565,69.56242353,1.709999084,0.013000247,0.0,0,0.0834427729080413,1,,0,0,0
2019-01-05,160566000,15.9592001,16.76822229,17.49813013,21.97786337,-0.729907834,19.60986416,15.44826906,-2.623333931,0.024653469,78.64400024,78.0581003,76.6834717,81.04970013,1.374628597,79.76405432,74.9569433,1.340003967,0.004164283,0.0,0,0.2216571400440763,1,,0,0,0
2019-01-07,123201000,14.8333334,14.71103019,14.57093665,60.34093724,0.140093536,15.70545124,13.11141545,0.142666817,0.014903948,78.04799957,77.7298991,76.81935134,63.26059573,0.910547756,80.16301712,73.71298309,3.119995117,0.011406108,0.0,0,0.0745256369515063,1,,0,0,0
2019-01-08,123892500,15.75373344,16.10349781,15.91079658,43.70162697,0.192701232,17.83263519,14.69829828,-1.312665939,0.052434038,81.65399933,81.35957863,80.46975444,44.42856799,0.88982419,83.16037734,79.05962388,-0.680000305,0.007908308,0.0,0,-0.0397690746654675,0,,0,0,0
2019-01-10,92439000,15.98600063,15.94703132,15.75317425,47.99669138,0.193857066,16.98969323,14.7763736,-0.006664276,0.035207901,80.28999939,80.38419971,80.25167476,39.99998018,0.132524947,82.08398956,79.46801163,-1.510002136,0.009514325,0.0,0,-0.0422984484417121,0,,0,0,0
2019-01-11,95758500,21.16226692,19.76364007,18.39099995,76.90249169,1.37264012,22.65445736,13.92680923,3.757333755,0.059949006,83.84799957,82.83394688,81.88729839,65.76577676,0.946648483,84.8832724,78.77472702,3.759994507,0.009813673,0.0,0,-0.2239953362126042,0,,0,0,0
2019-02-04,82183500,18.77826691,18.58663453,18.85783783,47.9656511,-0.2712033,19.69642274,17.31204398,1.227333069,0.02217208,74.10800018,73.68421627,72.50242595,68.08012946,1.181790322,75.93458739,69.67041139,1.819999695,0.013004788,0.0,0,0.1713656512258465,1,,0,0,0
2019-02-05,272389500,15.91213322,16.69208542,17.40740438,34.30560683,-0.715318967,19.31300044,15.42706599,-1.808668137,0.030724593,78.49199982,78.06454617,76.78839961,74.33156059,1.276146561,79.79074014,75.1522576,0.5,0.004448746,0.0,0,0.1954527660793954,1,,0,0,0
2019-02-07,138885000,14.89720001,14.75087174,14.60049692,67.58684097,0.150374819,15.62021703,13.402983,-0.012666702,0.015423424,78.54199982,78.00068352,77.01717701,67.37335122,0.983506513,80.09949019,74.42651003,1.949996948,0.010300638,0.0,0,0.1357381765765324,1,,0,0,0
2019-02-08,92047500,15.83773346,16.02952389,15.88945367,38.20489029,0.140070217,17.82912959,14.71007062,-1.589332581,0.051784093,80.94600067,81.00425931,80.36458767,35.32333917,0.63967164,83.25717333,78.8728285,-1.63999939,0.009304805,0.0,0,-0.2362806969356118,0,,0,0,0
2019-02-10,84471000,16.1784008,15.98728308,15.78691451,47.73481252,0.200368566,16.92468723,14.99104639,-0.024000168,0.035227387,79.80999908,80.06047649,80.10562469,30.13693738,-0.0451482,82.378224,79.01177691,-3.0,0.010896867,0.0,0,-0.0338502780193947,0,,0,0,0
2019-02-12,91117500,22.15146675,22.44013356,21.72261569,43.40645364,0.717517874,24.26174504,20.98865512,-1.153333664,0.025563625,87.85200043,87.19992192,85.97003998,56.02604931,1.229881941,88.80105818,84.67294161,-0.339996338,0.007684136,0.0,0,-0.328067619846753,0,,0,0,0
