Date,Volume,SMA_5,EMA_12,EMA_26,RSI_14,MACD,BB_upper,BB_lower,Momentum_10,Volatility_10d,SMA_5_XLK,EMA_12_XLK,EMA_26_XLK,RSI_14_XLK,MACD_XLK,BB_upper_XLK,BB_lower_XLK,Momentum_10_XLK,Volatility_10d_XLK,DailySent,HasSent,Return_5d,y_5d,Sent_5d_Avg,SentimentSignal,bullish_sentiment_rsi,bearish_sentiment_rsi
2019-01-04,111448000,47.25849991,46.95764903,45.85957789,67.26846421,1.09807114,49.42558996,42.81416033,0.805000305,0.015923373,73.73400116,73.39589256,72.28102029,68.85060736,1.114872273,75.60157565,69.56242353,1.709999084,0.013000247,0.0,0,0.3479442709722631,1,,0,0,0
2019-01-05,259309200,51.26900024,50.96130299,49.78097347,67.90884473,1.180329518,52.5012518,48.40124835,2.817501068,0.018507986,78.64400024,78.0581003,76.6834717,81.04970013,1.374628597,79.76405432,74.9569433,1.340003967,0.004164283,0.0,0,-0.078377038562136,0,,0,0,0
2019-01-07,109012000,49.72900085,49.33062791,48.60343502,64.29178321,0.727192898,51.58815055,45.60259957,1.915000916,0.013253635,78.04799957,77.7298991,76.81935134,63.26059573,0.910547756,80.16301712,73.71298309,3.119995117,0.011406108,0.0,0,0.0337264838991016,1,,0,0,0
2019-01-08,216071600,52.38349915,51.94451533,51.13549572,58.65091621,0.809019605,53.10217792,49.76032208,0.692497253,0.014324767,81.65399933,81.35957863,80.46975444,44.42856799,0.88982419,83.16037734,79.05962388,-0.680000305,0.007908308,0.0,0,-0.0273473505036337,0,,0,0,0
2019-01-10,139223200,55.41500015,55.07709064,54.22710548,51.83418862,0.849985158,56.76876237,52.70098709,0.972499847,0.011623269,80.28999939,80.38419971,80.25167476,39.99998018,0.132524947,82.08398956,79.46801163,-1.510002136,0.009514325,0.0,0,-0.095027369572562,0,,0,0,0
2019-01-11,151125200,62.00899963,61.03706562,59.21680285,77.99608401,1.82026277,63.78104623,55.61970336,4.852500916,0.014675891,83.84799957,82.83394688,81.88729839,65.76577676,0.946648483,84.8832724,78.77472702,3.759994507,0.009813673,0.0,0,-0.1440855726041434,0,,0,0,0
2019-02-04,91062800,47.62000046,47.19570319,46.05553516,69.30070852,1.140168027,49.64441998,43.05758045,1.872501373,0.015988912,74.10800018,73.68421627,72.50242595,68.08012946,1.181790322,75.93458739,69.67041139,1.819999695,0.013004788,0.0,0,0.3760642491130301,1,,0,0,0
2019-02-05,127985200,51.4625,51.16533307,49.96664199,68.65397332,1.198691073,52.68259009,48.56490975,1.504997253,0.018169024,78.49199982,78.06454617,76.78839961,74.33156059,1.276146561,79.79074014,75.1522576,0.5,0.004448746,0.0,0,-0.0659812113281569,0,,0,0,0
2019-02-07,67740800,50.08700027,49.53860807,48.75743975,67.68847037,0.78116832,51.4654055,46.30259453,1.069999695,0.011446591,78.54199982,78.00068352,77.01717701,67.37335122,0.983506513,80.09949019,74.42651003,1.949996948,0.010300638,0.0,0,0.040485811599179,1,,0,0,0
2019-02-08,163448400,52.19749908,51.79997467,51.12582945,48.14929424,0.674145221,53.10218802,49.75506219,0.357501984,0.015241984,80.94600067,81.00425931,80.36458767,35.32333917,0.63967164,83.25717333,78.8728285,-1.63999939,0.009304805,0.0,0,-0.1505734848444402,0,,0,0,0
2019-02-10,138449200,55.31150055,55.0252308,54.26509779,43.62459138,0.760133007,56.53724181,53.17675775,-0.95249939,0.014039784,79.80999908,80.06047649,80.10562469,30.13693738,-0.0451482,82.378224,79.01177691,-3.0,0.010896867,0.0,0,-0.0699841233814365,0,,0,0,0
2019-02-12,94487200,66.49550018,65.99858038,64.53424484,53.46778643,1.46433554,67.42161153,64.04714,-0.400001526,0.009835742,87.85200043,87.19992192,85.97003998,56.02604931,1.229881941,88.80105818,84.67294161,-0.339996338,0.007684136,0.0,0,-0.2236363647880378,0,,0,0,0
2019-03-04,93087200,47.9640007,47.44828755,46.26160675,68.62179509,1.186680804,49.82137162,43.40137885,1.79750061,0.015937882,74.68799896,74.02202873,72.75261641,69.72070391,1.269412314,76.29259452,69.8514042,2.629997253,0.012975682,0.0,0,0.139045775409633,1,,0,0,0
2019-03-05,83569600,51.83499985,51.43797413,50.18670555,71.56731083,1.251268584,52.96619562,48.68280417,1.972499847,0.018414645,78.54799957,78.1838462,76.94036974,75.69620691,1.243476459,79.84698599,75.42401163,1.019996643,0.005230333,0.0,0,0.238364027782385,1,,0,0,0
2019-03-06,161584400,44.1140007,45.26367802,46.80998667,30.39773507,-1.546308646,52.01994372,41.72755651,-3.924999237,0.014380249,72.27599945,73.27380288,74.45678282,37.59260345,-1.182979938,78.15172068,70.79127935,-4.75,0.010806657,0.0,0,0.044506414511231,1,,0,0,0
2019-03-07,45448000,50.31750031,49.77920697,48.93114799,69.89916649,0.848058985,51.42955994,46.88519035,1.635002136,0.011443351,78.99199982,78.32365505,77.24553416,68.77112702,1.078120898,80.21977041,74.9222294,2.279998779,0.010427926,0.0394254128138224,1,-0.1046173935804372,0,0.0394254128138224,0,0,0
2019-03-09,80092000,51.65699997,51.69245715,51.43973135,46.15021738,0.252725805,53.595001,49.12949927,-1.162502289,0.019243902,78.79000092,78.76220877,78.89878586,46.7692174,-0.136577087,80.53266975,76.3683297,-0.910003662,0.014632111,-0.0047269314527511,1,-0.1020700411875046,0,0.0173492406805356,0,0,0
2019-03-10,114426000,55.35800095,55.05288788,54.33472031,53.46039295,0.718167567,56.4724224,53.43007738,-0.034999847,0.014176486,79.50399933,79.93424901,80.04150418,39.47363797,-0.107255175,82.32795806,78.82904267,-2.220001221,0.011913781,0.0,0,-0.1550141267083631,0,0.0173492406805356,0,0,0
2019-03-12,114430400,66.14950104,65.82379925,64.55856026,46.16562314,1.26523899,67.37592897,64.14157286,-1.912498474,0.010996254,87.50800018,87.03531812,85.98188866,47.58308487,1.053429459,88.72956202,84.84643743,-1.370002747,0.008016606,-0.0023674021164576,1,-0.2886604048330057,0,0.0107770264148712,0,0,0
2019-03-13,124130000,44.3465004,44.078579,43.46699159,75.61326829,0.611587407,45.17110006,41.89814966,1.710002899,0.013194573,70.97399902,70.87307034,70.01481674,70.2479495,0.858253597,72.30191267,68.70308611,1.13999939,0.008813246,-0.1842374384403228,1,0.0354960023337973,1,-0.0379765897989272,0,0,0
2019-03-14,94318000,44.90800018,44.36379745,43.64962177,75.74160236,0.714175685,45.59121024,41.81678956,2.645000458,0.012413467,71.47999878,71.10029005,70.18779316,66.10171682,0.912496886,72.49660457,68.84839437,1.489997864,0.008675962,0.2036206954055362,1,0.0618297398955602,1,0.0030722308490011,0,0,0
2019-03-15,156171600,45.56849976,44.69705919,43.86298303,76.98590968,0.834076168,46.10372532,41.68727428,2.787498474,0.012537354,72.11599884,71.39101433,70.39536388,67.9144363,0.995650447,72.80645441,68.93054434,1.650001526,0.008822057,0.0735842798437391,1,0.0264887221991754,1,0.0226500336731237,0,0,0
