Price,Close,High,Low,Open,Volume
Ticker,XLK,XLK,XLK,XLK,XLK
Date,,,,,
2019-03-04,66.80673217773438,67.51174201801089,66.06412095203538,67.34253936947529,15826500
2019-03-05,66.60932159423828,66.85372698173745,66.40251758725668,66.76912208264042,8953800
2019-03-06,66.26151275634766,66.63751938158273,66.17691503082794,66.56231662218974,13122100
2019-03-07,65.63172149658203,66.12992734631537,65.41551530449487,66.07352884913244,18498300
2019-03-08,65.62232971191406,65.67873538972958,64.71051561433423,64.8421240814153,12890700
2019-03-11,67.0323257446289,67.09812636875074,65.85730947693183,65.85730947693183,14576900
2019-03-12,67.42713165283203,67.65273275138854,67.0135236623704,67.22032765760122,18050600
2019-03-13,67.86893463134766,68.27314050166584,67.68093490308661,67.7185362830848,17833600
2019-03-14,68.00994873046875,68.2167527671822,67.82194897258256,67.98174948395892,10656600
2019-03-15,68.8332290649414,69.14443734407074,68.20138718542553,68.24854257131848,21024500
2019-03-18,69.12557220458984,69.3047468232722,68.70119536108741,68.88037717467073,14837600
2019-03-19,69.26702880859375,69.5971021082902,68.9935506038361,69.40848776633487,16153100
2019-03-20,69.07842254638672,69.64425118969763,68.66347818367133,69.19159115300953,13704300
2019-03-21,70.81364440917969,70.96453591251382,69.07843529025433,69.08786780793844,27274100
2019-03-22,69.14442443847656,70.73818121148572,69.11613409018179,70.44583082433883,26747400
2019-03-25,68.8426513671875,69.30474386179232,68.39941670720096,68.91809709546195,21946900
2019-03-26,69.21987915039062,69.88944386159513,68.81436731741874,69.44620916103268,13965100
2019-03-27,68.82379913330078,69.58766740826468,68.22024045288958,69.32361453271673,15831200
2019-03-28,69.106689453125,69.3896072762442,68.68231991334531,69.03124374097334,10539700
2019-03-29,69.78569030761719,69.81398065250391,69.34245571799299,69.68195424643282,14347200
2019-04-01,70.73818969726562,70.8230607523311,70.06862499266667,70.46470430610809,12590500
2019-04-02,70.98336791992188,71.07767867263455,70.57785614591833,70.79476080429708,11787100
2019-04-03,71.55864715576172,71.9170108393532,71.27573641044971,71.40776286390907,13869000
2019-04-04,71.25686645507812,71.71896620516837,70.83249676897245,71.5303518597535,11503100
2019-04-05,71.59635162353516,71.67179734751913,71.37002164648348,71.49261555178225,6709800
2019-04-08,71.86983489990234,71.90755776080421,71.12482458561551,71.42660027793043,7309900
2019-04-09,71.53034973144531,71.82270015941441,71.37003293878892,71.55864008369039,13440100
2019-04-10,72.0301513671875,72.0490163950111,71.55862640019777,71.59634926094495,8617400
