Date,Volume,SMA_5,EMA_12,EMA_26,RSI_14,MACD,BB_upper,BB_lower,Momentum_10,Volatility_10d,SMA_5_XLK,EMA_12_XLK,EMA_26_XLK,RSI_14_XLK,MACD_XLK,BB_upper_XLK,BB_lower_XLK,Momentum_10_XLK,Volatility_10d_XLK,DailySent,HasSent,Return_5d,y_5d,Sent_5d_Avg,SentimentSignal,bullish_sentiment_rsi,bearish_sentiment_rsi
2019-01-04,63000300,25.50400009,25.32384549,24.7179204,63.17722909,0.605925083,27.83629837,21.02770157,3.11000061,0.051274842,73.73400116,73.39589256,72.28102029,68.85060736,1.114872273,75.60157565,69.56242353,1.709999084,0.013000247,0.0,0,0.03235963043477334,1,,0,0,0
2019-01-05,136066900,27.53399963,27.60887032,27.18015279,40.07781537,0.428717535,29.16048941,26.74351049,-1.120000839,0.017143107,78.64400024,78.0581003,76.6834717,81.04970013,1.374628597,79.76405432,74.9569433,1.340003967,0.004164283,0.0,0,-0.00022379511818767,0,,0,0,0
2019-01-07,60275900,30.21800041,30.23075265,29.79346356,43.66492322,0.437289084,33.16642627,28.08157407,2.0,0.025070179,78.04799957,77.7298991,76.81935134,63.26059573,0.910547756,80.16301712,73.71298309,3.119995117,0.011406108,0.0,0,-0.0093269223369083,0,,0,0,0
2019-01-08,80878900,32.33600006,32.47914054,32.23481896,33.87874778,0.244321574,35.39909671,30.59090306,-3.13999939,0.03714808,81.65399933,81.35957863,80.46975444,44.42856799,0.88982419,83.16037734,79.05962388,-0.680000305,0.007908308,0.0,0,0.00462156440659229,1,,0,0,0
2019-01-10,37081800,29.09599991,29.61318739,30.14239755,40.42145817,-0.52921016,31.67093716,28.59106274,-2.229999542,0.016515854,80.28999939,80.38419971,80.25167476,39.99998018,0.132524947,82.08398956,79.46801163,-1.510002136,0.009514325,0.0,0,0.00236439601725273,1,,0,0,0
2019-01-11,64238600,33.73399963,32.66789962,31.59046607,79.61957696,1.077433552,35.1333199,27.45867934,3.920000076,0.020268915,83.84799957,82.83394688,81.88729839,65.76577676,0.946648483,84.8832724,78.77472702,3.759994507,0.009813673,0.0,0,-0.01885927209814146,0,,0,0,0
2019-02-04,53358800,25.71599998,25.54325387,24.86844482,65.08505288,0.674809056,28.11960695,21.06939299,0.75,0.037823552,74.10800018,73.68421627,72.50242595,68.08012946,1.181790322,75.93458739,69.67041139,1.819999695,0.013004788,0.0,0,0.04478504500934579,1,,0,0,0
2019-02-05,100514800,27.65999985,27.71365964,27.26236376,53.79939103,0.451295885,29.02849468,26.80250527,0.800001144,0.024416126,78.49199982,78.06454617,76.78839961,74.33156059,1.276146561,79.79074014,75.1522576,0.5,0.004448746,0.0,0,0.00258041539858668,1,,0,0,0
2019-02-07,37721700,30.69400024,30.38602143,29.90061439,44.97862688,0.485407043,33.21360906,28.20139129,0.789999008,0.021793225,78.54199982,78.00068352,77.01717701,67.37335122,0.983506513,80.09949019,74.42651003,1.949996948,0.010300638,0.0,0,-0.00966709501355416,0,,0,0,0
2019-02-08,60410900,31.42000008,32.01158053,32.02779537,24.29908948,-0.016214839,35.70715825,30.07684158,-3.069997787,0.03713714,80.94600067,81.00425931,80.36458767,35.32333917,0.63967164,83.25717333,78.8728285,-1.63999939,0.009304805,0.0,0,-0.00631793674087953,0,,0,0,0
2019-02-10,43640700,28.84999962,29.41269694,30.00666436,31.80078083,-0.593967419,31.68865768,28.30934208,-2.11000061,0.016329875,79.80999908,80.06047649,80.10562469,30.13693738,-0.0451482,82.378224,79.01177691,-3.0,0.010896867,0.0,0,0.0101730876507148,1,,0,0,0
2019-02-12,35710200,39.2140007,38.8479923,37.21832462,62.52587557,1.629667681,41.67316107,34.85483995,0.169998169,0.022973349,87.85200043,87.19992192,85.97003998,56.02604931,1.229881941,88.80105818,84.67294161,-0.339996338,0.007684136,0.0,0,-0.02021688616833895,0,,0,0,0
2019-03-04,197650500,26.5420002,26.07813796,25.17596746,74.06832394,0.902170505,28.8089402,21.0410598,3.319999695,0.044696407,74.68799896,74.02202873,72.75261641,69.72070391,1.269412314,76.29259452,69.8514042,2.629997253,0.012975682,0.0,0,-0.00117160628742456,0,,0,0,0
2019-03-05,55503100,27.72799988,27.79155805,27.33329973,52.80727396,0.458258328,28.85174435,26.89225551,0.539999008,0.024424442,78.54799957,78.1838462,76.94036974,75.69620691,1.243476459,79.84698599,75.42401163,1.019996643,0.005230333,0.0,0,0.037845508437753375,1,,0,0,0
2019-03-06,147532200,28.03199997,27.55740313,27.43099646,57.14286004,0.126406675,28.73785596,26.00114398,0.079999924,0.038880416,72.27599945,73.27380288,74.45678282,37.59260345,-1.182979938,78.15172068,70.79127935,-4.75,0.010806657,0.0,0,-0.01522842919573147,0,,0,0,0
2019-03-07,23462000,30.94800034,30.50971053,29.99612448,48.83991291,0.51358605,33.23997286,28.34402754,0.690000534,0.02183253,78.99199982,78.32365505,77.24553416,68.77112702,1.078120898,80.21977041,74.9222294,2.279998779,0.010427926,-0.5462223887443542,1,-0.02683552644364126,0,-0.5462223887443542,-1,0,0
2019-03-09,38029300,30.95600052,30.99874278,31.18486899,44.58370195,-0.186126211,33.91312445,28.30587579,-0.579999924,0.03206235,78.79000092,78.76220877,78.89878586,46.7692174,-0.136577087,80.53266975,76.3683297,-0.910003662,0.014632111,0.0,0,-0.0246278278109571,0,-0.5462223887443542,0,0,0
2019-03-10,56325200,28.69199982,29.29997438,29.90839295,30.33268846,-0.608418566,31.48992611,28.22607368,-1.61000061,0.017539451,79.50399933,79.93424901,80.04150418,39.47363797,-0.107255175,82.32795806,78.82904267,-2.220001221,0.011913781,0.0,0,-0.018933055269552048,0,-0.5462223887443542,0,0,0
2019-03-12,51556400,39.03600082,38.85599372,37.34289328,61.61188955,1.513100441,41.68318936,35.10581172,-0.979999542,0.019933852,87.50800018,87.03531812,85.98188866,47.58308487,1.053429459,88.72956202,84.84643743,-1.370002747,0.008016606,0.0,0,-0.033161956356354924,0,-0.5462223887443542,0,0,0
2019-03-13,56705800,22.78399963,23.16805718,23.42878624,45.29615751,-0.260729058,24.85200139,22.01299857,-0.100000381,0.023715281,70.97399902,70.87307034,70.01481674,70.2479495,0.858253597,72.30191267,68.70308611,1.13999939,0.008813246,0.0,0,0.00992301832058748,1,-0.5462223887443542,0,0,0
2019-03-14,42818600,22.93199959,23.11450988,23.38369094,36.86005325,-0.269181064,24.85315406,22.00884584,-0.710000992,0.024839272,71.47999878,71.10029005,70.18779316,66.10171682,0.912496886,72.49660457,68.84839437,1.489997864,0.008675962,0.0,0,0.0222173521861253,1,,0,0,0
2019-03-15,46519900,23.18799973,23.1415085,23.37675094,38.12710469,-0.235242441,24.85581486,22.02218521,-0.38999939,0.025807926,72.11599884,71.39101433,70.39536388,67.9144363,0.995650447,72.80645441,68.93054434,1.650001526,0.008822057,0.0,0,0.01322455903106079,1,,0,0,0
2019-03-18,34731800,23.24599991,23.1581995,23.36736198,41.30435683,-0.209162482,24.83196477,22.00303526,-0.120000839,0.025492208,72.51399994,71.6847049,70.61052234,68.80422061,1.074182562,73.18079386,68.92420492,2.230003357,0.008569149,0.0,0,0.01169892176344085,1,,0,0,0
2019-03-19,156052200,23.74799995,23.59539957,23.5623722,66.71087633,0.033027372,25.33682192,21.70317804,2.5,0.043837869,72.85799866,71.95628829,70.82085379,70.42737716,1.135434502,73.51608257,68.96991596,2.589996338,0.008319154,-0.1237054690718651,1,-0.00119230565384615,0,-0.1237054690718651,0,0,0
2019-03-20,151292100,24.21200027,23.91918437,23.72071506,63.92811522,0.198469313,25.66424125,21.55075871,3.290000916,0.039889439,73.06799927,72.15532086,71.00079055,70.42737716,1.154530316,73.74230586,69.09669256,2.760002136,0.008057159,0.0,0,-0.00315175621029826,0,-0.1237054690718651,0,0,0
