Date,Volume,SMA_5,EMA_12,EMA_26,RSI_14,MACD,BB_upper,BB_lower,Momentum_10,Volatility_10d,SMA_5_XLK,EMA_12_XLK,EMA_26_XLK,RSI_14_XLK,MACD_XLK,BB_upper_XLK,BB_lower_XLK,Momentum_10_XLK,Volatility_10d_XLK,Return_5d,y_5d
2019-09-13,159053200,52.795692443847656,51.77085774674451,50.78467311571416,60.512227468224694,0.9861846310303477,53.70022075822998,48.07247440168212,0.04660049762458773,0.015696677253298423,76.77240905761718,76.20891885929807,75.6291532416971,56.03032853533906,0.5797656176009696,78.02304053464611,72.88420128664295,0.020239135426908472,0.011098921744821626,-0.004662844019090007,0
2019-09-16,84632400,53.07163925170899,51.95223326016603,50.94505278003047,61.66344427309251,1.0071804801355597,53.949376945779434,48.14597637148131,0.053463504005567763,0.015556039584322829,76.78565216064453,76.27202051015125,75.70248111933759,54.987565277688574,0.5695393908136595,78.11510416441917,73.04576619690897,0.017980516224957332,0.011171979334408767,-0.005366244029741951,0
2019-09-17,73274800,53.26427001953125,52.135338590558156,51.10782056726635,62.48280013268905,1.0275180232918046,54.212846003128526,48.13172339384413,0.07292140321302676,0.013951826259358088,76.93896789550782,76.37346414147714,75.79351245225847,56.42837051002807,0.5799516892186745,78.26434479970406,73.06876753550101,0.0347507570618919,0.010026755715673756,-0.013683473206380747,0
2019-09-18,101360000,53.22477798461914,52.36695808830732,51.29545351235238,64.59175852112821,1.0715045759549398,54.54304555124458,48.100343959863814,0.06491687644458977,0.013559486403290407,76.931396484375,76.45784325905939,75.87709881918464,56.36941741844224,0.5807444398747492,78.39545199511149,73.14681027295491,0.017271592643825606,0.008841183743905917,-0.007810687110193726,0
2019-09-19,88242400,53.12220077514648,52.49589258989586,51.4369037965213,61.34462937861399,1.05898879337456,54.75030876441286,48.09341796593382,0.03600900420089581,0.01339857783316038,76.87462005615234,76.55545322604003,75.96711431735123,57.23456983916736,0.5883389086887973,78.52976622428501,73.15067124519742,-0.0013483508965846935,0.005792504697106698,-0.004842486545860281,0
2019-09-20,221652400,53.073079681396486,52.48533745925383,51.51026531090658,55.940197955715,0.9750721483472446,54.84087291520295,48.1297504826242,0.020960541746918082,0.014581380230784176,76.75159912109375,76.49973356844312,75.98386699396671,51.43851525500097,0.515866574476405,78.56316401255468,73.18352711903712,-0.01214637572208599,0.006855472447382834,0.0050059308045156126,1
2019-09-23,76662000,53.01625137329101,52.51307893374663,51.595849883688096,57.18519928005007,0.9172290500585305,54.82058569657299,48.537227184896736,0.0212447377844589,0.014586111283620352,76.71389923095703,76.48909457932267,76.01695685657363,52.79731759644464,0.4721377227490393,78.38412613276117,73.70239349004157,-0.0015973789749725853,0.006590148591884492,0.024003573522383803,1
2019-09-24,124763200,52.87081680297852,52.49802756796289,51.65654582238915,55.41375321707973,0.8414817455737449,54.83036181546524,48.79689534090683,0.004522505093949913,0.014311175635123413,76.46564331054688,76.36617610738361,75.99274705325105,48.25971471723496,0.3734290541325578,78.27882463590063,73.97221372469508,-0.006232547964174606,0.007114957810459403,0.03174375135640739,1
2019-09-25,87613600,52.78702239990234,52.609391528360426,51.77249748817861,59.740184783748454,0.8368940401818179,54.820618638912116,49.21285189636621,-0.011449690981488958,0.010852927769514877,76.39965515136718,76.40091633853433,76.03713524262973,53.50150655885714,0.3637810959045993,78.15446164859094,74.3626388763114,-0.004779091435316518,0.007380142774220507,-0.009365314869765995,0
2019-09-26,75334000,52.73549346923828,52.661390938660745,51.85952639241075,57.68868589024414,0.8018645462499947,54.753562250732,49.62568274438519,-0.01434401636719096,0.010926054409243062,76.31667785644531,76.44345560488662,76.08456385945895,53.97716902625914,0.35889174542766966,77.96723223209746,74.8178484868967,-0.009030796347649361,0.007121320371468251,0.004229587660952827,1
