iter	Logloss
0	0.6909690748
1	0.6887732892
2	0.6859800927
3	0.6838918196
4	0.6820823439
5	0.6802171328
6	0.6782185714
7	0.6762770318
8	0.6741883125
9	0.672624726
10	0.671208763
11	0.6690531662
12	0.6674356179
13	0.6661404601
14	0.6646439701
15	0.6632965728
16	0.6618515847
17	0.660521172
18	0.65873616
19	0.6573789313
20	0.6557522018
21	0.6542853619
22	0.6529270198
23	0.6518545321
24	0.6508568343
25	0.6495921408
26	0.6483870135
27	0.6473204276
28	0.6463196144
29	0.6451177807
30	0.6438696239
31	0.6426001571
32	0.6417048267
33	0.6402502293
34	0.6387289334
35	0.6379042448
36	0.6370415245
37	0.6360333575
38	0.6350497222
39	0.6338302376
40	0.6330194422
41	0.6322361009
42	0.631293973
43	0.6304462916
44	0.6293650445
45	0.6285177977
46	0.6273900576
47	0.6267799233
48	0.6257341365
49	0.6250351685
50	0.6238118337
51	0.6228891628
52	0.6220001691
53	0.6210495261
54	0.620085983
55	0.6192938359
56	0.6184383094
57	0.617651762
58	0.6168571451
59	0.6160408241
60	0.6153809867
61	0.614639737
62	0.614025526
63	0.612985458
64	0.6120714944
65	0.6113108165
66	0.6107174351
67	0.6098793303
68	0.6089422064
69	0.6081437699
70	0.6077442705
71	0.6071502999
72	0.6064236227
73	0.6055049245
74	0.6049773864
75	0.604559356
76	0.6040848807
77	0.6036064342
78	0.6028442072
79	0.6024443205
80	0.601500484
81	0.6010061528
82	0.6007113541
83	0.6001556347
84	0.5995897943
85	0.5987709107
86	0.5982148684
87	0.5978491506
88	0.5974979661
89	0.5970554607
90	0.5965268016
91	0.5958410359
92	0.595292686
93	0.5948501273
94	0.5945532492
95	0.5941414184
96	0.5936324455
97	0.5929835632
98	0.5922563033
99	0.5917063857
100	0.5913753204
101	0.5908346117
102	0.5903273973
103	0.5898941134
104	0.5894399342
105	0.5888497635
106	0.5882615327
107	0.5879485831
108	0.5876457929
109	0.5871604864
110	0.5867676979
111	0.586426964
112	0.5858329643
113	0.5852426371
114	0.5849740245
115	0.584357086
116	0.5840397578
117	0.5837008176
118	0.5830029771
119	0.5826389449
120	0.5820639472
121	0.5818041595
122	0.5809435294
123	0.5805850627
124	0.5801266447
125	0.5793093009
126	0.5789877238
127	0.5786326271
128	0.5780915989
129	0.5775353262
130	0.5772694182
131	0.576904058
132	0.5764443667
133	0.5760729805
134	0.5756275281
135	0.5753176226
136	0.5747845023
137	0.5745998931
138	0.5743177403
139	0.5739776079
140	0.573397652
141	0.5729065506
142	0.5725876246
143	0.572062741
144	0.5718368139
145	0.5713239288
146	0.5708569912
147	0.570447599
148	0.5703309791
149	0.5698575446
150	0.5695322334
151	0.5691654212
152	0.5687078633
153	0.5682534428
154	0.5678598422
155	0.567607565
156	0.5671482195
157	0.5669710951
158	0.5665961459
159	0.56652585
160	0.5660459682
161	0.5657641983
162	0.5653332525
163	0.564961009
164	0.5643206362
165	0.5638230717
166	0.5633076312
167	0.5629302533
168	0.5626000679
169	0.5620639709
170	0.5616351697
171	0.5614103038
172	0.5608226884
173	0.5602346781
174	0.5599837392
175	0.5596055432
176	0.5593799768
177	0.5589193167
178	0.5586542297
179	0.5584651978
180	0.5581513665
181	0.5576331682
182	0.5572148391
183	0.5569856457
184	0.5567932176
185	0.5562458463
186	0.556034984
187	0.5557914839
188	0.5554091731
189	0.5548985931
190	0.5546223743
191	0.5541386115
192	0.5539060069
193	0.5535503566
194	0.5531420591
195	0.552845328
196	0.5524344945
197	0.552131004
198	0.551665226
199	0.5512947155
200	0.5510235141
201	0.5507005784
202	0.5502596963
203	0.5498971775
204	0.5495457476
205	0.5493450962
206	0.5491043102
207	0.548888493
208	0.5485545157
209	0.5478490861
210	0.5473194622
211	0.5468934301
212	0.5467202234
213	0.5464596422
214	0.5461567937
215	0.5458113959
216	0.545557075
217	0.5452371369
218	0.5448175964
219	0.5446208375
220	0.5442226184
221	0.5438241705
222	0.5435070448
223	0.5432394149
224	0.5430646558
225	0.5428092999
226	0.5425791314
227	0.5421751299
228	0.5418913879
229	0.5415937546
230	0.5413474183
231	0.5410812539
232	0.5408403006
233	0.5406030382
234	0.5402236113
235	0.5397689663
236	0.5395357189
237	0.5392822314
238	0.5390928814
239	0.5389361692
240	0.5385630795
241	0.538347809
242	0.5382176995
243	0.5378295132
244	0.5375164996
245	0.537342875
246	0.5369364784
247	0.5368244709
248	0.5365248316
249	0.5361832509
250	0.5359968034
251	0.5358340919
252	0.5356300215
253	0.5353568835
254	0.5350558166
255	0.5347141817
256	0.5345423869
257	0.5341231135
258	0.5337078922
259	0.5334335948
260	0.5332286927
261	0.5330308987
262	0.5326549621
263	0.5322805191
264	0.5321160299
265	0.53190327
266	0.5317338187
